pair,window_d,z_in,fees,trades,win%,net_med,net_total,fund_total,worst,hold_med_d,sharpe_tr
CRWV/NBIS,5,2.5,taker,111,25.225225225225223,-24.180763124470495,-1530.0170475409973,66.9341,-1388.0607777532227,0.003472222222222222,-0.06608804771767499
CRWV/NBIS,5,2.5,maker,111,40.54054054054054,-8.180763124470495,245.98295245900266,66.9341,-1372.0607777532227,0.003472222222222222,0.010625066646134574
CRWV/NBIS,10,2.0,taker,19,68.42105263157895,206.2583721223824,2921.2055752413844,64.01740000000001,-1162.5785727397147,0.9166666666666666,0.29025516970106
CRWV/NBIS,10,2.0,maker,19,68.42105263157895,222.2583721223824,3225.205575241384,64.01740000000001,-1146.5785727397147,0.9166666666666666,0.32046104508928247
CRWV/NBIS,10,2.5,taker,14,64.28571428571429,153.19419411292756,3500.3507991379524,72.96610000000001,-894.4439112401392,0.8958333333333333,0.4124621762374736
CRWV/NBIS,10,2.5,maker,14,64.28571428571429,169.19419411292756,3724.3507991379524,72.96610000000001,-878.4439112401392,0.8958333333333333,0.4388571099966694
ASTS/RKLB,5,2.0,taker,108,41.66666666666667,-13.727005915279637,2799.5482813533763,-12.5156,-804.5109067001064,0.003472222222222222,0.14389348665261364
ASTS/RKLB,5,2.0,maker,108,51.85185185185185,2.2729940847203625,4527.548281353377,-12.5156,-788.5109067001064,0.003472222222222222,0.23271065283326386
ASTS/RKLB,5,2.5,taker,97,36.08247422680412,-17.45850932544432,1450.0027611859848,-10.9888,-804.5109067001064,0.003472222222222222,0.08219697692662291
ASTS/RKLB,5,2.5,maker,97,47.42268041237113,-1.458509325444322,3002.002761185985,-10.9888,-788.5109067001064,0.003472222222222222,0.17017591848793215
ASTS/RKLB,10,2.0,taker,66,34.84848484848485,-14.436898620117052,3783.7182687746504,16.5335,-299.13386276510687,0.003472222222222222,0.29247916526487816
ASTS/RKLB,10,2.0,maker,66,54.54545454545454,1.563101379882947,4839.71826877465,16.5335,-283.13386276510687,0.003472222222222222,0.37410733538224106
ASTS/RKLB,10,2.5,taker,60,28.333333333333332,-16.107129077074106,2187.6190795988437,13.017100000000001,-259.74567871013124,0.003472222222222222,0.20451611387268115
ASTS/RKLB,10,2.5,maker,60,50.0,-0.10712907707410513,3147.6190795988437,13.017100000000001,-243.74567871013124,0.003472222222222222,0.29426458569245384
HOOD/COIN,5,2.0,taker,514,21.78988326848249,-23.602321171464443,-8327.842702343116,90.87229999999998,-1026.194249596357,0.003472222222222222,-0.13921686897798483
HOOD/COIN,5,2.0,maker,514,39.688715953307394,-7.6023211714644425,-103.84270234311498,90.87229999999998,-1010.1942495963569,0.003472222222222222,-0.0017359424767177463
HOOD/COIN,5,2.5,taker,488,18.0327868852459,-25.40403063949034,-10579.690101810313,99.75479999999995,-1026.194249596357,0.003472222222222222,-0.19472278363603138
HOOD/COIN,5,2.5,maker,488,36.68032786885246,-9.40403063949034,-2771.6901018103117,99.75479999999995,-1010.1942495963569,0.003472222222222222,-0.051013896135633306
HOOD/COIN,10,2.0,taker,202,16.33663366336634,-23.377124073833194,-6385.714508664969,2.1835000000000377,-1778.8246762780864,0.003472222222222222,-0.1653118353800059
HOOD/COIN,10,2.0,maker,202,35.148514851485146,-7.377124073833194,-3153.714508664969,2.1835000000000377,-1762.8246762780864,0.003472222222222222,-0.08164259974111415
HOOD/COIN,10,2.5,taker,196,14.795918367346939,-23.441753075030444,-5996.84709810891,-5.518600000000021,-1778.8246762780864,0.003472222222222222,-0.1734569536912361
HOOD/COIN,10,2.5,maker,196,34.183673469387756,-7.441753075030446,-2860.8470981089094,-5.518600000000021,-1762.8246762780864,0.003472222222222222,-0.08274912041210293
MSTR/COIN,5,2.0,taker,329,26.74772036474164,-19.95726504011389,-6748.842479915935,15.79059999999999,-1518.00916212797,0.003472222222222222,-0.13400286770581069
MSTR/COIN,5,2.0,maker,329,43.161094224924014,-3.9572650401138874,-1484.8424799159345,15.79059999999999,-1502.00916212797,0.003472222222222222,-0.029482559563698878
MSTR/COIN,5,2.5,taker,313,23.322683706070286,-21.47024500682027,-6919.363086127261,13.03349999999999,-1423.0304817038648,0.003472222222222222,-0.15578372614229782
MSTR/COIN,5,2.5,maker,313,40.894568690095845,-5.470245006820271,-1911.3630861272604,13.03349999999999,-1407.0304817038648,0.003472222222222222,-0.043032756029919655
MSTR/COIN,10,2.0,taker,95,33.68421052631579,-14.702728558427834,-2971.56709844932,61.28340000000005,-2114.085053795447,0.003472222222222222,-0.12010555716106995
MSTR/COIN,10,2.0,maker,95,53.68421052631579,1.2972714415721658,-1451.5670984493206,61.28340000000005,-2098.085053795447,0.003472222222222222,-0.05866980934299327
MSTR/COIN,10,2.5,taker,86,26.744186046511626,-18.487941080913977,-3641.137067021267,24.559900000000106,-1961.6420836312047,0.003472222222222222,-0.17137834731273288
MSTR/COIN,10,2.5,maker,86,48.837209302325576,-2.487941080913979,-2265.137067021266,24.559900000000106,-1945.6420836312047,0.003472222222222222,-0.10661379668974935
ALAB/CRDO,5,2.0,taker,41,34.146341463414636,-35.71125751576291,-856.6413671153368,-6.8356,-596.8460545568842,0.024305555555555556,-0.08200108336266403
ALAB/CRDO,5,2.0,maker,41,36.58536585365854,-19.71125751576291,-200.6413671153369,-6.8356,-580.8460545568842,0.024305555555555556,-0.019206181375792043
ALAB/CRDO,5,2.5,taker,39,33.33333333333333,-33.51727560508754,-433.80763552521574,-1.1831,-396.3274270267118,0.013888888888888888,-0.05476231386267548
ALAB/CRDO,5,2.5,maker,39,38.46153846153847,-17.51727560508754,190.1923644747842,-1.1831,-380.3274270267118,0.013888888888888888,0.02400919925036011
ALAB/CRDO,10,2.0,taker,7,71.42857142857143,272.9818878363922,162.0817020732627,-3.4444000000000012,-1392.0116424226082,2.7743055555555554,0.027572636755680512
ALAB/CRDO,10,2.0,maker,7,71.42857142857143,288.9818878363922,274.0817020732627,-3.4444000000000012,-1376.0116424226082,2.7743055555555554,0.04662559138988313
ALAB/CRDO,10,2.5,taker,6,66.66666666666666,467.69941523383494,716.2973448763655,-3.4444000000000012,-1210.1441394856902,2.2847222222222223,0.13571743200918915
ALAB/CRDO,10,2.5,maker,6,66.66666666666666,483.69941523383494,812.2973448763655,-3.4444000000000012,-1194.1441394856902,2.2847222222222223,0.1539066289482494
