a,b,corr,n,halflife_h,spread_std_bps
LRCX,SKHY,0.6864185974562147,202,40.449909181939425,305.58769750476387
MU,TSM,0.6852766595612669,499,108.01631957305734,701.0876961007033
ONDS,USAR,0.6850969100999957,425,608.5716655305163,961.5052834627197
EWJ,TQQQ,0.6849790578017254,268,143.4325259917505,626.3512660990166
MVLL,SAMSUNG,0.6848148434825888,268,158.8241858511602,1726.805839902144
MVLL,SKHY,0.6847173704284379,202,113.73532906944679,497.93115406971606
MVLL,NBIS,0.6846183806008652,268,202.926025962313,1675.7057384007637
QCOM,SOXL,0.6845107751261192,499,170.15810035293268,1509.152307542233
MVLL,NOK,0.6841533837880905,268,114.56818107322249,1544.7854819705017
INTC,TER,0.6836880988941332,251,185.28530140086647,531.9824292730934
MRVL,SKHY,0.6835565403509489,202,114.10144263604427,463.09973901616127
ARM,QQQ,0.6834867835553519,472,452.61769002757836,683.0532168917325
AMAT,DRAM,0.6832807515113978,395,135.01713398433796,404.12346215103275
SKHY,STXX,0.6831444281058315,202,68.9988425093635,184.5605612479438
GLW,LITE,0.6829930497064644,377,589.9289713158378,718.4602141056498
INTW,LITE,0.6827977131064825,208,81.20803901601515,263.11864092502987
ARM,MU,0.682736218740566,472,213.07289635049807,723.9378278651651
SKHY,WDC,0.6826866878673145,202,78.55115974579047,300.0909126159567
ARM,TQQQ,0.6826178543233749,268,100.12746104965599,351.8027173451613
ARM,DRAM,0.6824948616763712,472,115.39686363804488,744.7839065123493
AMD,CIEN,0.6822458175863375,310,150.27965215272744,750.2791841218325
EWT,TSM,0.682238811018893,436,21.648070449392264,147.66918324014156
AAOI,MU,0.682157174823548,395,158.5444466017471,1401.9069818699709
AMD,SKHY,0.6812272373200062,202,24.48373206673229,431.16418057479797
TER,WDC,0.6810596689616912,251,748.7064300427852,871.2851548907614
DRAM,TER,0.6807005582896524,251,264.35210007827203,318.36733470375725
CIEN,FLEX,0.6806699140469543,251,33.257442828413765,253.24094941619128
INTW,TER,0.680080074323988,208,112.27860579761293,293.6709316135717
AMD,MRVL,0.6797562089652883,499,432.23232659886077,1200.7236547536734
ADBE,NOW,0.6793198596010288,377,116.03509438523982,458.72430710508354
CRDO,SNDK,0.679000700308873,395,755.7095533792549,678.9601060989863
BMNR,COIN,0.6789851755170782,377,662.7803020948763,554.544032667241
AAOI,AMD,0.6780939444825818,395,229.23157157942288,1927.0445906011473
INTW,STXX,0.6780167200685155,208,86.95967400647636,427.8776766743077
