symbol,underlyingType,fundingTime,fundingRate,markPrice
INTCUSDT,EQUITY,1782374400001,0.00024784,139.33000000
INTCUSDT,EQUITY,1782403200001,0.00017772,129.11000000
INTCUSDT,EQUITY,1782432000001,0.00025784,131.96389595
INTCUSDT,EQUITY,1782460800002,0.00011514,129.06000000
INTCUSDT,EQUITY,1782489600001,0.00017036,128.99000000
INTCUSDT,EQUITY,1782518400001,0.00027777,127.72000000
INTCUSDT,EQUITY,1782547200001,0.00000000,128.33000000
INTCUSDT,EQUITY,1782576000001,0.00000000,127.88764601
INTCUSDT,EQUITY,1782604800002,-0.00004130,126.88000000
INTCUSDT,EQUITY,1782633600002,0.00001001,127.78734110
INTCUSDT,EQUITY,1782662400001,0.00000000,127.84000000
INTCUSDT,EQUITY,1782691200001,0.00000000,128.48000000
INTCUSDT,EQUITY,1782720000001,0.00035261,129.77109859
INTCUSDT,EQUITY,1782748800001,0.00025791,126.23000000
INTCUSDT,EQUITY,1782777600000,0.00037322,131.81000000
INTCUSDT,EQUITY,1782806400000,0.00025477,131.88456482
INTCUSDT,EQUITY,1782835200001,0.00013527,140.05947442
INTCUSDT,EQUITY,1782864000000,0.00005220,139.49000000
INTCUSDT,EQUITY,1782892800001,0.00000000,138.75484235
INTCUSDT,EQUITY,1782921600001,0.00016940,128.81017556
INTCUSDT,EQUITY,1782950400000,0.00031200,127.30000000
INTCUSDT,EQUITY,1782979200001,0.00000087,123.99478669
INTCUSDT,EQUITY,1783008000001,0.00000000,123.66039117
INTCUSDT,EQUITY,1783036800001,0.00000000,121.00000000
INTCUSDT,EQUITY,1783065600001,0.00032688,122.70355465
INTCUSDT,EQUITY,1783094400001,0.00000000,123.44000000
INTCUSDT,EQUITY,1783123200001,0.00000000,122.78075191
INTCUSDT,EQUITY,1783152000001,0.00011449,124.68000000
INTCUSDT,EQUITY,1783180800001,-0.00005742,123.81593225
INTCUSDT,EQUITY,1783209600002,0.00000000,124.23000000
INTCUSDT,EQUITY,1783238400001,0.00000000,124.15049520
INTCUSDT,EQUITY,1783267200001,0.00000000,124.13000000
INTCUSDT,EQUITY,1783296000001,-0.00019751,122.95365369
INTCUSDT,EQUITY,1783324800001,0.00000000,123.84351152
INTCUSDT,EQUITY,1783353600001,0.00000000,124.60000000
INTCUSDT,EQUITY,1783382400001,0.00000000,121.17000000
INTCUSDT,EQUITY,1783411200001,0.00000000,118.23000000
INTCUSDT,EQUITY,1783440000001,0.00012863,109.78000000
INTCUSDT,EQUITY,1783468800002,0.00000109,108.26753727
INTCUSDT,EQUITY,1783497600001,0.00016994,109.44000000
INTCUSDT,EQUITY,1783526400001,0.00000000,105.08000000
INTCUSDT,EQUITY,1783555200001,0.00009209,110.32000000
INTCUSDT,EQUITY,1783584000001,0.00005041,114.14000000
INTCUSDT,EQUITY,1783612800001,0.00010476,113.24040491
INTCUSDT,EQUITY,1783641600001,0.00000000,112.68000000
INTCUSDT,EQUITY,1783670400001,0.00000000,109.66402624
INTCUSDT,EQUITY,1783699200001,0.00000000,109.29000000
INTCUSDT,EQUITY,1783728000001,0.00009300,109.68935104
INTCUSDT,EQUITY,1783756800001,0.00137382,112.03000000
INTCUSDT,EQUITY,1783785600001,-0.00012608,111.52723192
INTCUSDT,EQUITY,1783814400001,-0.00000234,111.38124531
INTCUSDT,EQUITY,1783843200001,0.00000000,112.18000000
INTCUSDT,EQUITY,1783872000001,0.00000000,111.13000000
INTCUSDT,EQUITY,1783900800001,-0.00028711,109.90000000
INTCUSDT,EQUITY,1783929600001,0.00000000,105.74000000
INTCUSDT,EQUITY,1783958400001,0.00008077,104.27000000
INTCUSDT,EQUITY,1783987200002,0.00006731,102.43000000
INTCUSDT,EQUITY,1784016000001,0.00008410,105.39722547
INTCUSDT,EQUITY,1784044800001,0.00004940,106.73000000
INTCUSDT,EQUITY,1784073600001,0.00000000,108.91000000
