symbol,fundingTime,fundingRate,markPrice,rateType,ts,rate
SKHYNIXUSDT,1784635200001,0.00000000,1262.86000000,Regular,2026-07-21 12:00:00+00:00,0.0
SKHYNIXUSDT,1784649600000,0.00068707,1290.64000000,Regular,2026-07-21 16:00:00+00:00,0.00068707
SKHYNIXUSDT,1784664000001,0.00010694,1323.28000000,Regular,2026-07-21 20:00:00+00:00,0.00010694
SKHYNIXUSDT,1784678400000,0.00000000,1336.81000000,Regular,2026-07-22 00:00:00+00:00,0.0
SKHYNIXUSDT,1784692800000,0.00034064,1314.02000000,Regular,2026-07-22 04:00:00+00:00,0.00034064
SKHYNIXUSDT,1784707200001,0.00068087,1250.28121741,Regular,2026-07-22 08:00:00+00:00,0.00068087
SKHYNIXUSDT,1784721600001,-0.00023337,1236.68000000,Regular,2026-07-22 12:00:00+00:00,-0.00023337
SKHYNIXUSDT,1784736000000,0.00071250,1272.51000000,Regular,2026-07-22 16:00:00+00:00,0.0007125
SKHYNIXUSDT,1784750400000,-0.00005632,1260.89000000,Regular,2026-07-22 20:00:00+00:00,-5.632e-05
SKHYNIXUSDT,1784764800000,0.00000000,1300.05000000,Regular,2026-07-23 00:00:00+00:00,0.0
SKHYNIXUSDT,1784779200001,0.00063342,1296.87232710,Regular,2026-07-23 04:00:00+00:00,0.00063342
SKHYNIXUSDT,1784793600001,0.00006207,1304.97000000,Regular,2026-07-23 08:00:00+00:00,6.207e-05
SKHYNIXUSDT,1784808000000,-0.00080868,1293.51906174,Regular,2026-07-23 12:00:00+00:00,-0.00080868
SKHYNIXUSDT,1784822400001,-0.00007333,1285.58298930,Regular,2026-07-23 16:00:00+00:00,-7.333e-05
SKHYNIXUSDT,1784836800000,-0.00015507,1286.45000000,Regular,2026-07-23 20:00:00+00:00,-0.00015507
SKHYNIXUSDT,1784851200000,0.00000000,1283.66000000,Regular,2026-07-24 00:00:00+00:00,0.0
SKHYNIXUSDT,1784865600000,0.00137911,1210.35000000,Regular,2026-07-24 04:00:00+00:00,0.00137911
SKHYNIXUSDT,1784880000000,0.00134578,1223.17271498,Regular,2026-07-24 08:00:00+00:00,0.00134578
SKHYNIXUSDT,1784894400001,0.00000000,1230.13000000,Regular,2026-07-24 12:00:00+00:00,0.0
SKHYNIXUSDT,1784908800000,-0.00044942,1195.24000000,Regular,2026-07-24 16:00:00+00:00,-0.00044942
SKHYNIXUSDT,1784923200000,-0.00028398,1172.12620367,Regular,2026-07-24 20:00:00+00:00,-0.00028398
SKHYNIXUSDT,1784937600001,-0.00005092,1169.56000000,Regular,2026-07-25 00:00:00+00:00,-5.092e-05
SKHYNIXUSDT,1784952000001,0.00047410,1190.04943771,Regular,2026-07-25 04:00:00+00:00,0.0004741
SKHYNIXUSDT,1784966400000,0.00000000,1193.24680982,Regular,2026-07-25 08:00:00+00:00,0.0
SKHYNIXUSDT,1784980800000,0.00000000,1201.70363078,Regular,2026-07-25 12:00:00+00:00,0.0
SKHYNIXUSDT,1784995200000,0.00000000,1201.32000000,Regular,2026-07-25 16:00:00+00:00,0.0
SKHYNIXUSDT,1785009600000,0.00011139,1218.76000000,Regular,2026-07-25 20:00:00+00:00,0.00011139
SKHYNIXUSDT,1785024000001,0.00000000,1226.60000000,Regular,2026-07-26 00:00:00+00:00,0.0
SKHYNIXUSDT,1785038400000,0.00001648,1229.58000000,Regular,2026-07-26 04:00:00+00:00,1.648e-05
SKHYNIXUSDT,1785052800001,-0.00001979,1224.99000000,Regular,2026-07-26 08:00:00+00:00,-1.979e-05
SKHYNIXUSDT,1785067200000,0.00000000,1227.92000000,Regular,2026-07-26 12:00:00+00:00,0.0
SKHYNIXUSDT,1785081600001,0.00000000,1223.30000000,Regular,2026-07-26 16:00:00+00:00,0.0
SKHYNIXUSDT,1785096000000,0.00000000,1221.08249096,Regular,2026-07-26 20:00:00+00:00,0.0
SKHYNIXUSDT,1785110400001,0.00082569,1250.40000000,Regular,2026-07-27 00:00:00+00:00,0.00082569
SKHYNIXUSDT,1785124800000,0.00183254,1199.25000000,Regular,2026-07-27 04:00:00+00:00,0.00183254
SKHYNIXUSDT,1785139200001,0.00025493,1236.28038180,Regular,2026-07-27 08:00:00+00:00,0.00025493
SKHYNIXUSDT,1785153600001,-0.00023261,1228.34827321,Regular,2026-07-27 12:00:00+00:00,-0.00023261
SKHYNIXUSDT,1785168000000,-0.00246424,1147.73760980,Regular,2026-07-27 16:00:00+00:00,-0.00246424
SKHYNIXUSDT,1785182400001,0.00008584,1141.05006246,Regular,2026-07-27 20:00:00+00:00,8.584e-05
SKHYNIXUSDT,1785196800000,0.00000000,1136.69988288,Regular,2026-07-28 00:00:00+00:00,0.0
SKHYNIXUSDT,1785211200000,0.00201005,1093.20000000,Regular,2026-07-28 04:00:00+00:00,0.00201005
SKHYNIXUSDT,1785225600000,0.00085144,1063.15000000,Regular,2026-07-28 08:00:00+00:00,0.00085144
SKHYNIXUSDT,1785240000000,0.00000000,1059.57000000,Regular,2026-07-28 12:00:00+00:00,0.0
SKHYNIXUSDT,1785254400000,0.00072370,1070.43119599,Regular,2026-07-28 16:00:00+00:00,0.0007237
SKHYNIXUSDT,1785268800001,0.00000000,1052.48439171,Regular,2026-07-28 20:00:00+00:00,0.0
SKHYNIXUSDT,1785283200001,0.00000000,1070.36488680,Regular,2026-07-29 00:00:00+00:00,0.0
